N,sigma_mc,sigma_mc_err,sigma_quad,sigma_quad_err,rel_error
2000,9275.639499612622,2412.9418215450614,6592.073859957685,1.7330719586858279e-06,0.40708974090168376
5000,7901.967464030608,1364.6250002780287,6592.073859957685,1.7330719586858279e-06,0.19870736158307112
10000,6083.4462718441855,767.9883718377118,6592.073859957685,1.7330719586858279e-06,-0.07715744679425734
20000,6930.657374411813,671.2032648705447,6592.073859957685,1.7330719586858279e-06,0.05136221493372365
50000,6801.539210638272,395.3833126828789,6592.073859957685,1.7330719586858279e-06,0.031775334307606144
100000,6641.627327860261,280.88025652930264,6592.073859957685,1.7330719586858279e-06,0.007517128745109963
200000,6713.782715770109,192.9359302473288,6592.073859957685,1.7330719586858279e-06,0.01846290839544758
500000,6517.418197402074,121.57909978409191,6592.073859957685,1.7330719586858279e-06,-0.011325064636956383
1000000,6511.969739721328,87.60641442241975,6592.073859957685,1.7330719586858279e-06,-0.01215158111667029
